                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.45171,                 2.5452,                0.82035,                0.01651,                0.94977,                0.83008,                0.57165,                    nan,                    nan,                    nan,                 0.0006,                 0.0006,                 0.0006
                      2,                0.49386,                 1.8427,                0.81727,                      1,                0.36737,                0.93646,                0.73009,                    nan,                    nan,                    nan,              0.0010992,              0.0010992,              0.0010992
                      3,                0.44692,                 1.7057,                 0.8424,                      1,                0.62163,                0.91282,                0.72225,                    nan,                    nan,                    nan,              0.0014757,              0.0014757,              0.0014757
                      4,                0.45607,                 1.5264,                0.83026,                0.98924,                   0.84,                0.94641,                0.75081,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                      5,                0.41785,                 1.4765,                0.82105,                0.96759,                0.90639,                0.95671,                0.77574,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                      6,                0.37038,                 1.2718,                0.79966,                0.96495,                0.88128,                0.92791,                0.75507,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                      7,                0.35192,                 1.1851,                0.78639,                0.95842,                0.90183,                0.94634,                0.78438,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                      8,                 0.3336,                 1.1399,                0.79299,                0.95522,                0.88584,                0.93622,                0.78077,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                      9,                0.32611,                 1.0889,                 0.7807,                0.96748,                0.88294,                0.93729,                0.78432,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     10,                0.26846,                 1.0104,                0.79197,                 0.9727,                0.90411,                0.95056,                0.80075,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
