                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.691,                 3.2496,                  1.641,                0.06023,                0.31387,                0.04421,                0.01197,                 2.5234,                  9.551,                 1.4734,             0.00031673,             0.00031673,             0.00031673
                      2,                 2.3521,                  2.197,                 1.4354,                0.06128,                 0.3057,                0.04202,                 0.0138,                 2.3764,                 6.6002,                 1.4266,             0.00058577,             0.00058577,             0.00058577
                      3,                 2.2885,                 2.0334,                 1.3951,                0.15892,                0.28814,                0.11019,                0.03468,                 2.3763,                 4.1281,                  1.473,             0.00078879,             0.00078879,             0.00078879
                      4,                 2.2816,                 1.9951,                 1.4308,                 0.1957,                0.34827,                0.16503,                0.05747,                 2.3096,                 2.9305,                 1.4155,              0.0009258,              0.0009258,              0.0009258
                      5,                 2.2774,                  1.874,                 1.4485,                0.16679,                 0.2017,                0.11616,                0.03675,                 2.3185,                 2.8122,                 1.3732,              0.0009968,              0.0009968,              0.0009968
                      6,                  2.248,                  1.841,                  1.458,                0.22842,                0.25894,                 0.1597,                0.05995,                 2.2692,                 2.9633,                 1.3841,             0.00084184,             0.00084184,             0.00084184
                      7,                 2.1939,                 1.7858,                 1.3893,                0.22069,                0.24993,                0.19749,                0.06955,                 2.2472,                 2.6241,                 1.3648,              0.0006768,              0.0006768,              0.0006768
                      8,                 2.1895,                 1.7411,                 1.3922,                 0.2761,                0.30562,                 0.2292,                0.07068,                 2.2562,                 2.4203,                 1.3698,             0.00051177,             0.00051177,             0.00051177
                      9,                 2.1402,                 1.6682,                 1.3546,                0.30751,                0.29614,                0.21794,                0.06998,                 2.2391,                 2.2001,                 1.3568,             0.00034674,             0.00034674,             0.00034674
                     10,                 2.1417,                 1.5994,                 1.3165,                0.28356,                0.31665,                0.21833,                0.07475,                 2.2361,                 2.0725,                 1.3454,              0.0001817,              0.0001817,              0.0001817
