                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93784,                 2.8191,                 1.0361,                      1,                  0.044,                0.57684,                0.47352,                0.75384,                 3.3048,                0.86542,             0.00046551,             0.00046551,             0.00046551
                      2,                0.95646,                 2.0617,                 1.0285,                 0.7374,                0.33419,                0.60315,                0.43399,                0.99622,                 2.7885,                 1.0081,              0.0008486,              0.0008486,              0.0008486
                      3,                 1.0246,                 1.9105,                  1.051,                0.61967,                0.67546,                0.72963,                0.52176,                0.95712,                 2.5188,                0.96747,              0.0011374,              0.0011374,              0.0011374
                      4,                 0.9566,                 1.6883,                 1.0454,                 0.5173,                 0.6933,                  0.699,                0.51028,                0.93529,                 2.7099,                0.97078,              0.0010046,              0.0010046,              0.0010046
                      5,                0.91309,                 1.4607,                 1.0264,                 0.7462,                 0.7235,                0.81759,                0.61086,                 0.8516,                 1.7146,                0.97544,             0.00086312,             0.00086312,             0.00086312
                      6,                0.89948,                 1.3743,                 1.0288,                0.84576,                0.78435,                0.88958,                0.70105,                0.78979,                 1.2383,                0.95124,             0.00072164,             0.00072164,             0.00072164
                      7,                0.82227,                  1.209,                0.99393,                 0.8727,                0.83633,                0.88966,                0.72175,                  0.734,                 1.0803,                0.90905,             0.00058017,             0.00058017,             0.00058017
                      8,                0.80381,                 1.1223,                0.99239,                0.89574,                0.86789,                0.90955,                0.75989,                 0.7037,                0.97189,                 0.8876,              0.0004387,              0.0004387,              0.0004387
                      9,                0.74291,                 1.0452,                0.95973,                0.87699,                0.88377,                0.88806,                0.74052,                0.67549,                0.96731,                0.86947,             0.00029723,             0.00029723,             0.00029723
                     10,                0.69145,                0.96691,                0.93843,                0.89498,                0.91661,                0.91125,                0.79097,                0.58397,                0.84149,                0.84615,             0.00015576,             0.00015576,             0.00015576
